country_code,state_province,city,latitude,longitude,maturity_segment,fast_station_share,median_power_kw,has_fast_dc,has_ultra_dc,dc_fast_station_count,dc_ultra_station_count,station_count,port_count
DK,UNKNOWN,Vallensbæk Strand,55.620632,12.390413,Emerging EV Infrastructure,0.0,12.7,0,0,0,0,1,1
DK,UNKNOWN,Varde,55.613305,8.488824,Developing EV Infrastructure,0.5,81.35,1,1,1,1,2,5
DK,UNKNOWN,Vedbæk,55.84662599999999,12.550880333333334,Emerging EV Infrastructure,0.0,12.7,0,0,0,0,3,3
DK,UNKNOWN,Vejen,55.47591945454545,9.135145909090909,Emerging EV Infrastructure,0.0,12.7,0,0,0,0,11,11
DK,UNKNOWN,Vejle,55.70436025,9.54183675,Developing EV Infrastructure,0.25,17.35,1,1,1,1,4,16
DK,UNKNOWN,Vestervig,56.768056,8.295579,Emerging EV Infrastructure,0.0,12.7,0,0,0,0,2,2
DK,UNKNOWN,Vojens,55.246236,9.348762,Emerging EV Infrastructure,0.0,12.7,0,0,0,0,2,2
DK,UNKNOWN,Vordingborg,54.997727,12.000886,Mature Fast-Charging Hub,1.0,350.0,1,1,1,1,1,6
DK,UNKNOWN,silkeborg,56.18534,9.578983,Mature Fast-Charging Hub,1.0,400.0,1,1,1,1,1,8
DK,UNKNOWN,thisted,56.959853,8.723671,Emerging EV Infrastructure,0.0,12.7,0,0,0,0,1,1
DK,UNKNOWN,vejle,55.719709,9.51082,Emerging EV Infrastructure,0.0,6.0,0,0,0,0,1,1
DK,UNKNOWN,Årre,55.615182,8.727758,Emerging EV Infrastructure,0.0,12.7,0,0,0,0,1,1
DK,UNKNOWN,Ærøskøbing,54.890105000000005,10.408757,Emerging EV Infrastructure,0.0,8.0,0,0,0,0,2,2
DK,UNKNOWN,Ølgod,55.809741,8.61151,Emerging EV Infrastructure,0.0,12.7,0,0,0,0,1,1
DK,Viken,AREMARK,55.666268,12.5351605,Emerging EV Infrastructure,0.0,16.5,0,0,0,0,2,7
DK,Viken,GOL,55.826065,12.195849,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,6
DK,Viken,JEVNAKER,55.818009,12.371355,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,3
EE,Harju,Tallinn,59.444615,24.883627,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,2
EE,Harju county,Tallinn,59.422996,24.696485,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Jõelähtme,59.441088,25.137721,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Jüri,59.358054,24.9113985,Developing EV Infrastructure,1.0,50.0,1,0,2,0,2,2
EE,Harju maakond,Keila,59.310728,24.436034,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Kernu,59.15427,24.504426,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Kose,59.16744,25.17572,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Kuusalu,59.448179,25.434852,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Laagri,59.3437035,24.619442,Developing EV Infrastructure,1.0,50.0,1,0,2,0,2,3
EE,Harju maakond,Loksa,59.581219,25.721498,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Maardu,59.470235,25.015982,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Nissi,59.122774,24.302208,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Padise,59.226537,24.144329,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Paldiski,59.339428,24.104768,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Saue linn,59.312637,24.562111,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Tabasalu,59.430168,24.544312,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harju maakond,Tallinn,59.423460160000005,24.75115184,Developing EV Infrastructure,0.92,50.0,1,0,23,0,25,30
EE,Harju maakond,Viimsi,59.505846,24.829815,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Harjumaa,Tallinn,59.437282,24.871347,Developing EV Infrastructure,1.0,120.0,1,0,1,0,1,2
EE,Harjumaa,Tammemäe,59.311988,24.68205,Mature Fast-Charging Hub,1.0,300.0,1,1,1,1,1,3
EE,Harjumaa,Vaela,59.341256,24.807634,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,2
EE,Hiiumaa,Kärdla,58.994507,22.722506,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Hiiumaa (Hiiu /Hiiumaa island),Emmaste,58.705411,22.596129,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Hiiumaa (Hiiu /Hiiumaa island),Heltermaa,58.865191,23.047189,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,2
EE,Hiiumaa (Hiiu /Hiiumaa island),Käina,58.827085,22.77673,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Ida-Viru maakond,Iisaku,59.082823,27.316702,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Ida-Viru maakond,Jõhvi,59.357076500000005,27.435774,Developing EV Infrastructure,1.0,50.0,1,0,2,0,2,2
EE,Ida-Viru maakond,Kiviõli,59.364777,26.967968,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Ida-Viru maakond,Kohtla-Järve,59.398155,27.287036,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Ida-Viru maakond,Narva,59.3801505,28.180187,Developing EV Infrastructure,1.0,50.0,1,0,2,0,2,2
EE,Ida-Viru maakond,Rannu,59.439413,26.854296,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Ida-Viru maakond,Sillamäe,59.390909,27.772921,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Ida-Virumaa,Jõhvi,59.351403,27.419316,Mature Fast-Charging Hub,1.0,150.0,1,1,1,1,1,2
EE,Järva maakond,Albu,59.17902,25.76109,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Järva maakond,Albu vald,59.095892,25.69083,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Järva maakond,Järva-Jaani,59.038701,25.882457,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Järva maakond,Mäeküla,58.880098,25.690708,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Järva maakond,Paide,58.890578,25.56558,Developing EV Infrastructure,1.0,50.0,1,0,2,0,2,2
EE,Järva maakond,Türi,58.80893,25.431957,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Jõgeva maakond,Jõgeva,58.748188,26.398233,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Jõgeva maakond,Mustvee,58.853329,26.950077,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Jõgeva maakond,Põltsamaa,58.6631835,25.9906195,Developing EV Infrastructure,1.0,50.0,1,0,2,0,2,2
EE,Jõgeva maakond,Tabivere,58.55202,26.60038,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Lääne-Viru maakond,Kunda,59.50001,26.512269,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Lääne-Viru maakond,Rakvere,59.34879166666667,26.359464000000003,Developing EV Infrastructure,1.0,50.0,1,0,3,0,3,4
EE,Lääne-Viru maakond,Roela,59.161021,26.587898,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Lääne-Viru maakond,Tapa,59.262486,25.963734,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Lääne-Viru maakond,Viitna,59.456551,26.011504,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Lääne-Viru maakond,Väike-Maarja vald,59.129897,26.251855,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Lääne-Viru maakond,Võsu,59.578239,25.966193,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Läänemaa / Lääne maakond /Lääne/Laane county,Haapsalu,58.939755,23.542596,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Läänemaa / Lääne maakond /Lääne/Laane county,Lihula,58.686397,23.834856,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
